ID	TARGET_D	GiftCnt36	GiftCntAll	GiftCntCardAll	GiftAvgLast	GiftAvg36	GiftAvgAll	GiftTimeLast	GiftTimeFirst	DemAge	DemGender	DemHomeOwner	DemMedHomeValue	DemPctVeterans	DemMedIncome
00120115	200,00	4	8	5	50,00	43,75	40,88	24	68	27	M	U	27400,00	44	33874,00
00189943	200,00	4	25	17	250,00	64,25	12,76	17	129	81	M	U	143700,00	45	71429,00
00191779	150,00	1	1	1	25,00	25,00	25,00	24	24	70	M	U	143200,00	62	79635,00
00012573	102,00	6	28	17	133,00	99,83	63,04	5	127	17	F	U	137500,00	0	0,00
00044060	100,00	2	5	2	30,00	27,50	28,00	26	68	78	M	U	89600,00	48	0,00
00012361	100,00	1	4	1	100,00	100,00	62,50	19	49	55	F	H	577800,00	28	71979,00
00006183	100,00	1	15	7	100,00	50,00	25,80	16	129	73	M	H	159800,00	0	70682,00
00013188	100,00	2	11	9	100,00	87,50	47,18	21	93	47	F	U	67900,00	1	45767,00
00158545	100,00	1	1	1	50,00	50,00	50,00	20	20	37	F	U	460100,00	32	82711,00
00026378	100,00	1	1	1	50,00	50,00	50,00	24	24	60	U	U	115300,00	23	0,00
00147841	100,00	3	8	4	50,00	58,33	30,75	24	69	80	F	H	562600,00	30	65906,00
00169350	100,00	1	1	1	25,00	25,00	25,00	21	21	53	F	H	88300,00	17	36408,00
00014064	100,00	1	1	0	200,00	200,00	200,00	20	20	42	M	H	91900,00	26	65592,00
00185052	100,00	2	18	7	110,00	150,00	89,44	16	106	47	M	H	244200,00	25	44554,00
00108115	100,00	4	22	13	24,00	24,25	13,27	23	123	62	M	H	80100,00	29	41024,00
00149792	100,00	3	10	6	100,00	70,00	36,80	16	89	73	U	H	194900,00	0	33927,00
00041901	100,00	4	9	4	26,00	26,50	26,44	15	91	41	M	U	38000,00	40	43750,00
00102589	100,00	4	15	9	10,00	10,00	7,73	21	90	71	M	U	46500,00	33	57019,00
00006006	100,00	2	14	7	100,00	100,00	85,00	17	113	81	F	U	94700,00	45	32981,00
00023778	100,00	1	2	2	16,00	16,00	13,00	21	45	83	F	U	108200,00	28	67067,00
00067712	100,00	6	26	9	75,00	48,50	27,42	19	126	17	F	U	45900,00	46	0,00
00076780	75,00	1	5	4	50,00	50,00	33,00	24	65	81	F	U	68800,00	31	42403,00
00039967	75,00	1	1	1	50,00	50,00	50,00	24	24	67	M	U	128900,00	45	52974,00
00159424	75,00	2	7	2	50,00	50,00	25,00	15	79	73	M	H	327600,00	33	0,00
00007402	75,00	1	5	4	75,00	75,00	70,00	21	74	59	F	H	291500,00	25	38563,00
00012666	75,00	1	5	0	50,00	50,00	68,80	10	18	65	M	H	86300,00	38	46518,00
00005742	75,00	3	7	2	100,00	116,67	103,57	4	45	67	F	H	291000,00	0	61461,00
00156568	75,00	3	12	7	70,00	63,33	40,08	21	69	48	U	U	302000,00	30	0,00
00026924	60,00	2	4	2	50,00	37,50	23,75	18	69	68	M	H	116600,00	0	78798,00
00060490	60,00	1	12	8	45,00	45,00	17,33	19	113	45	F	H	87400,00	37	64942,00
00143936	55,00	2	2	1	40,00	32,50	32,50	17	28	46	M	H	495600,00	31	86002,00
00125277	53,00	5	11	6	52,00	52,00	36,36	21	64	63	M	U	113600,00	26	76794,00
00160972	53,00	3	13	10	47,00	44,00	28,54	17	130	78	M	H	105300,00	48	53325,00
00174576	51,00	1	4	3	36,00	36,00	30,75	24	52	49	F	H	68100,00	28	49142,00
00189130	51,00	1	6	4	36,00	36,00	20,83	18	89	69	M	U	109400,00	23	56916,00
00063436	51,00	2	3	2	15,00	15,00	11,67	22	52	67	F	U	33300,00	33	0,00
00020031	50,00	1	1	1	50,00	50,00	50,00	17	17	31	F	U	75400,00	27	40669,00
00136150	50,00	2	18	9	25,00	22,50	23,39	16	126	82	F	H	98800,00	45	46194,00
00130369	50,00	3	17	8	50,00	38,33	18,18	16	89	56	F	H	101700,00	38	52954,00
00134852	50,00	1	1	1	50,00	50,00	50,00	18	18	48	M	U	73500,00	22	50138,00
00001959	50,00	3	3	2	30,00	35,00	35,00	15	29	39	F	H	267000,00	16	71604,00
00164513	50,00	2	2	1	20,00	12,50	12,50	18	27	50	F	H	0,00	33	0,00
00091431	50,00	3	5	3	30,00	23,33	25,00	15	26	68	F	H	119100,00	30	69583,00
00030450	50,00	2	5	4	50,00	50,00	31,00	17	77	73	F	H	115600,00	32	70174,00
00176253	50,00	1	12	7	50,00	50,00	32,92	18	129	84	F	H	150600,00	31	67561,00
00014598	50,00	2	24	6	26,00	27,50	20,17	5	126	83	M	H	51000,00	51	40364,00
00014556	50,00	5	11	6	100,00	38,00	31,82	8	53	74	M	H	92600,00	47	41338,00
00066393	50,00	1	5	4	10,00	30,00	21,00	18	57	42	M	H	60500,00	34	59000,00
00064609	50,00	2	3	2	50,00	37,50	33,33	17	57	57	F	H	85900,00	22	77130,00
00166606	50,00	2	9	7	50,00	50,00	39,44	16	102	63	F	H	177800,00	27	42955,00
00144076	50,00	3	8	6	60,00	51,67	38,75	16	105	85	M	H	598000,00	17	155586,00
00133176	50,00	3	6	6	26,00	22,67	16,50	20	80	61	U	U	211100,00	28	0,00
00173805	50,00	5	8	7	10,00	9,00	8,88	16	56	82	F	U	250600,00	34	59503,00
00169955	50,00	2	12	9	50,00	50,00	28,75	18	116	73	M	U	158800,00	41	45469,00
00058597	50,00	4	9	8	50,00	36,25	25,11	21	105	80	M	U	29500,00	0	0,00
00175283	50,00	3	12	8	40,00	41,67	42,08	19	115	52	F	H	102700,00	40	88383,00
00107569	50,00	1	9	6	20,00	20,00	36,11	26	93	51	M	H	44300,00	28	43932,00
00147904	50,00	3	7	5	16,00	15,00	12,14	24	65	82	F	H	498400,00	25	40701,00
00114208	50,00	3	9	5	30,00	23,33	15,56	15	73	63	M	U	39300,00	39	49614,00
00103330	50,00	2	6	4	20,00	20,00	10,33	21	75	52	F	H	91500,00	22	61313,00
00144812	50,00	1	2	1	80,00	80,00	80,00	24	43	69	M	H	360800,00	32	73833,00
00121978	50,00	2	9	2	50,00	37,50	24,44	15	100	78	M	H	69300,00	24	37566,00
00062349	50,00	3	3	3	35,00	30,00	30,00	22	33	66	M	H	64300,00	23	52514,00
00112751	50,00	2	5	2	25,00	22,50	13,80	17	53	55	F	H	101700,00	23	70143,00
00146241	50,00	2	2	0	50,00	30,00	30,00	19	28	63	M	H	319600,00	24	76749,00
00097552	50,00	2	2	0	20,00	14,00	14,00	18	28	69	F	U	22600,00	29	27438,00
00079900	50,00	4	9	7	50,00	42,50	24,22	17	89	68	F	U	61700,00	30	46202,00
00031616	50,00	4	5	2	7,00	6,75	6,60	22	32	47	F	H	55500,00	44	42797,00
00180837	50,00	1	1	1	25,00	25,00	25,00	17	17	66	M	H	103900,00	39	57363,00
00064906	50,00	1	1	1	25,00	25,00	25,00	17	17	60	F	H	64000,00	30	55716,00
00186980	50,00	3	11	6	37,00	21,67	14,55	7	74	44	M	U	107600,00	28	67668,00
00001549	50,00	1	3	1	50,00	50,00	50,00	24	49	81	M	U	586300,00	41	0,00
00011562	50,00	1	13	8	50,00	50,00	32,31	15	123	72	F	H	343500,00	29	51250,00
00066219	50,00	1	5	1	50,00	50,00	35,00	17	75	40	M	H	113900,00	28	67860,00
00139107	50,00	2	6	3	75,00	87,50	52,00	18	75	63	F	H	83000,00	28	33538,00
00010489	50,00	3	27	10	40,00	20,00	10,41	15	103	75	F	U	43700,00	36	0,00
00121235	50,00	1	4	2	40,00	40,00	28,75	16	75	72	M	H	194700,00	11	91815,00
00125164	50,00	1	5	3	50,00	50,00	22,60	21	93	81	F	H	58800,00	58	29469,00
00071616	50,00	4	8	5	34,00	28,00	27,63	15	55	41	M	U	50100,00	37	54375,00
00005798	50,00	2	6	1	100,00	100,00	79,17	6	67	32	U	U	87200,00	40	67852,00
00181655	50,00	3	16	7	25,00	18,33	15,06	17	93	54	M	H	95700,00	43	56535,00
00041537	50,00	6	7	3	15,00	15,83	14,29	17	44	36	F	U	74200,00	35	0,00
00016863	50,00	3	4	4	25,00	18,33	15,00	16	44	64	F	U	95100,00	10	73793,00
00191056	47,00	1	6	2	32,00	32,00	28,83	26	44	17	M	U	566700,00	28	52283,00
00032622	47,00	1	6	3	37,00	37,00	23,83	18	92	17	M	U	53300,00	35	0,00
00008272	47,00	4	82	23	39,00	46,50	26,83	6	260	75	F	H	44800,00	31	40411,00
00149769	46,00	2	4	2	36,00	28,50	22,75	20	76	67	F	U	217200,00	13	0,00
00072308	46,00	2	8	6	21,00	23,00	19,25	25	91	77	F	H	60900,00	31	57088,00
00015668	45,00	1	3	2	20,00	20,00	9,33	26	68	56	M	H	70700,00	27	40262,00
00081823	45,00	1	1	1	25,00	25,00	25,00	24	24	57	M	U	47000,00	30	0,00
00166485	45,00	2	6	3	50,00	43,50	20,83	18	69	53	M	H	182300,00	23	115631,00
00119362	45,00	4	5	3	10,00	13,75	16,00	15	29	77	F	H	171100,00	32	75326,00
00166711	45,00	5	6	4	46,00	26,20	22,67	17	44	62	F	H	67500,00	38	81700,00
00129408	45,00	5	14	9	43,00	39,60	27,29	18	110	46	M	H	81800,00	22	68352,00
00146153	44,00	3	8	4	29,00	27,00	18,25	18	68	65	F	H	144200,00	22	45373,00
00011143	44,00	4	23	7	35,00	46,00	39,00	4	53	68	M	H	42400,00	24	45561,00
00139228	43,00	4	7	4	31,00	27,75	26,57	18	44	57	M	H	108100,00	37	70893,00
