caso	AAGE	ACLSWKR_C	ADTIND_C	ADTOCC_C	AHGA_C	AHRSPAY	AHSCOL_C	AMARITL_C	AMJIND_C	AMJOCC_C	ARACE_C	AREORGN_C	ASEX_C	AUNMEM_C	AUNTYPE_C	AWKSTAT_C	CAPGAIN	CAPLOSS	DIVVAL	FILESTAT_C	GRINREG_C	GRINST_C	HHDFMX_C	HHDREL_C	MIGMTR1_C	MIGMTR3_C	MIGMTR4_C	MIGSAME_C	MIGSUN_C	NOEMP	PARENT_C	PEFNTVTY_C	PEMNTVTY_C	PENATVTY_C	PRCITSHP_C	SEOTR_C	VETQVA_C	VETYN_C	WKSWORK	Clase
12	10	9	4	5	11	0	3	5	7	15	5	1	M	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	2	2	2	5	0	9	0	0	0
20	7	9	4	5	11	0	3	5	7	15	4	6	F	9	6	1	0	0	0	5	5	1	9	3	8	6	7	0	0	0	1	2	2	2	5	0	9	0	0	0
72	59	4	5	2	13	0	3	3	3	8	5	1	M	9	6	2	0	0	0	3	6	0	9	7	1	1	1	9	8	4	9	2	2	2	5	0	9	2	52	0
79	10	9	4	5	11	0	3	5	7	15	5	1	M	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	2	2	2	5	0	9	0	0	0
117	36	9	4	5	6	0	3	3	7	15	5	6	F	9	6	3	0	0	0	3	6	0	3	8	1	1	1	9	8	0	9	4	4	4	1	0	9	2	0	0
126	90	9	4	5	10	0	3	7	7	15	5	1	F	9	6	1	991	0	200	6	6	0	9	7	6	7	8	1	9	1	9	1	1	2	5	0	9	2	32	0
138	37	4	3	4	5	0	3	3	7	7	5	7	F	9	6	2	0	0	0	3	6	0	3	8	1	1	1	9	8	1	9	4	2	4	3	0	9	2	52	0
145	66	9	4	5	17	0	3	3	7	15	5	1	F	9	6	1	0	0	30	5	6	0	3	8	6	7	8	1	9	0	9	1	2	2	5	0	9	2	0	0
146	3	9	4	5	11	0	3	5	7	15	5	1	F	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	2	2	2	5	0	9	0	0	0
171	36	4	3	4	5	0	3	5	7	7	5	2	F	9	6	2	0	0	0	1	6	0	9	7	1	1	1	9	8	4	9	4	4	4	1	0	9	2	52	0
173	29	4	2	6	15	0	3	5	3	10	5	1	M	0	6	1	0	0	0	6	6	0	2	5	6	7	8	1	9	5	9	2	2	2	5	0	9	2	52	0
174	15	9	4	5	6	0	3	5	7	15	5	1	M	9	6	3	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	2	2	2	5	0	9	2	0	0
175	54	4	2	2	8	0	3	1	3	10	5	2	M	9	6	2	0	323	0	1	6	0	1	5	1	1	1	9	8	5	9	1	1	1	2	0	9	2	52	0
178	77	9	4	5	13	0	3	3	7	15	5	1	M	9	6	1	0	0	0	5	6	0	1	5	6	7	8	1	9	0	9	2	2	2	5	0	9	2	0	0
180	71	9	4	5	17	0	3	7	7	15	3	1	M	9	6	1	0	0	0	5	6	0	1	5	6	7	8	1	9	0	9	2	2	2	5	0	9	2	0	0
181	13	9	4	5	11	0	3	5	7	15	5	1	M	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	2	2	2	5	0	9	0	0	0
209	7	9	4	5	11	0	3	5	7	15	5	1	M	9	6	1	0	0	0	5	6	0	9	3	6	7	8	1	9	0	1	2	2	2	5	0	9	0	0	0
231	2	9	4	5	11	0	3	5	7	15	5	7	M	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	3	4	4	2	5	0	9	0	0	0
246	13	9	4	5	11	0	3	5	7	15	5	1	F	9	6	1	0	0	0	5	6	0	9	3	6	7	8	1	9	0	1	2	2	2	5	0	9	0	0	0
251	43	4	2	4	17	0	3	6	2	1	5	1	F	9	6	2	0	0	0	1	6	0	1	5	1	1	1	9	8	4	9	2	2	2	5	2	9	2	52	0
256	34	6	1	1	15	0	3	2	1	3	5	1	F	9	6	2	0	0	500	3	6	0	3	8	1	1	1	9	8	6	9	2	2	2	5	0	9	2	52	1
275	73	9	4	5	13	0	3	3	7	15	5	1	F	9	6	3	0	0	714	2	6	0	3	8	1	1	1	9	8	0	9	2	2	2	5	0	9	2	0	0
287	33	6	2	1	10	0	3	5	2	12	5	1	F	9	6	1	0	0	0	6	6	0	2	5	6	7	8	1	9	1	9	2	2	2	5	2	9	2	50	0
333	6	9	4	5	11	0	3	5	7	15	5	1	F	9	6	1	0	0	0	5	6	0	9	7	6	7	8	1	9	0	4	2	2	2	5	0	9	0	0	0
336	37	4	3	4	1	0	3	3	5	4	5	6	M	9	6	1	0	0	0	3	6	0	1	5	6	7	8	1	9	6	9	4	4	4	1	0	9	2	43	0
337	30	4	2	3	17	0	3	3	2	1	5	1	M	9	6	2	0	0	0	3	6	0	1	5	1	1	1	9	8	2	9	2	2	2	5	2	9	2	52	0
341	2	9	4	5	11	0	3	5	7	15	5	1	F	9	6	1	0	0	0	5	3	1	9	3	4	6	5	0	0	0	2	1	2	2	5	0	9	0	0	0
370	11	9	4	5	11	0	3	5	7	15	5	1	M	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	2	2	2	5	0	9	0	0	0
388	3	9	4	5	11	0	3	5	7	15	5	1	M	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	2	2	2	5	0	9	0	0	0
391	41	9	4	5	13	0	3	1	7	15	3	1	M	9	6	3	0	0	0	5	6	0	1	5	1	1	1	9	8	0	9	2	2	2	5	0	9	2	0	0
414	71	9	4	5	6	0	3	1	7	15	3	1	F	9	6	3	0	0	0	5	6	0	2	5	1	1	1	9	8	0	9	2	2	2	5	0	9	2	0	0
425	29	9	4	5	9	0	3	3	7	15	5	1	F	9	6	1	0	0	0	3	6	0	3	8	6	7	8	1	9	0	9	2	2	2	5	0	9	2	0	0
431	38	3	4	5	1	0	3	2	7	15	2	1	F	9	3	1	0	0	0	3	1	1	3	8	2	2	2	0	0	0	9	3	3	3	2	0	9	2	0	0
470	6	9	4	5	11	0	3	5	7	15	5	1	F	9	6	1	0	0	0	5	6	0	9	6	1	1	1	9	8	0	3	2	2	2	5	0	9	0	0	0
499	50	2	2	2	13	1300	3	3	4	8	5	1	M	1	6	2	0	0	250	3	6	0	1	5	1	1	1	9	8	4	9	2	2	2	5	1	9	2	52	0
601	31	4	5	3	10	0	3	5	3	1	5	1	F	9	4	1	0	0	0	6	6	0	9	1	6	7	8	1	9	4	9	2	2	2	5	2	9	2	40	0
620	71	9	4	5	13	0	3	3	7	15	5	1	F	9	6	3	0	0	0	5	6	0	3	8	1	1	1	9	8	0	9	2	2	2	5	0	9	2	0	0
631	6	9	4	5	11	0	3	5	7	15	5	1	F	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	3	2	2	2	5	0	9	0	0	0
